time (seconds),accelerometer X (m/sec^2 highlighted),accelerometer Y (m/sec^2 highlighted),accelerometer Z (m/sec^2 highlighted)
24.016,-0.15,-9.95,-0.11
24.032,-0.15,-9.87,-0.12
24.048,-0.26,-9.8,0.06
24.064,-0.11,-9.88,0.01
24.08,-0.24,-9.94,0.09
24.096,-0.14,-9.86,-0.0
24.112,-0.16,-9.79,-0.06
24.128,-0.12,-9.75,-0.0
24.144,-0.18,-9.78,0.12
24.16,-0.1,-9.86,-0.02
24.176,-0.11,-9.87,0.22
24.192,-0.11,-9.8,0.02
24.208,-0.13,-9.86,-0.09
24.224,-0.13,-9.84,0.04
24.24,-0.16,-9.79,0.07
24.256,-0.23,-9.79,-0.05
24.272,-0.17,-9.84,-0.04
24.288,-0.08,-9.84,0.01
24.304,-0.08,-9.81,0.01
24.32,-0.18,-9.79,0.05
24.336,-0.19,-9.87,0.0
24.352,-0.19,-9.86,0.01
24.368,-0.12,-9.88,0.01
24.384,-0.22,-9.89,0.04
24.4,-0.04,-9.8,-0.06
24.416,-0.13,-9.8,0.03
24.432,-0.12,-9.85,0.04
24.448,-0.08,-9.82,0.09
24.464,0.03,-9.78,0.05
24.48,-0.01,-9.75,-0.06
24.496,-0.05,-9.8,0.05
24.512,-0.02,-9.75,0.04
24.528,0.02,-9.93,0.04
24.544,-0.11,-9.81,0.09
24.56,-0.05,-9.77,0.02
24.576,-0.06,-9.79,-0.05
24.592,-0.06,-9.78,0.03
24.608,-0.09,-9.81,-0.01
24.624,-0.12,-9.88,0.02
24.64,-0.19,-9.83,-0.04
24.656,-0.13,-9.79,0.03
24.672,-0.11,-9.81,0.12
24.688,-0.17,-9.83,0.03
24.704,-0.1,-9.79,-0.03
24.72,-0.11,-9.83,0.05
24.736,-0.13,-9.78,-0.05
24.752,-0.18,-9.8,0.03
24.768,-0.18,-9.77,0.15
24.784,-0.09,-9.74,-0.02
24.8,-0.21,-9.81,-0.05
24.816,-0.13,-9.78,0.01
24.832,-0.15,-9.87,-0.07
24.848,-0.16,-9.85,0.01
24.864,-0.11,-9.88,0.03
24.88,-0.1,-9.77,-0.02
24.896,-0.23,-9.86,0.16
24.912,-0.25,-9.74,0.09
24.928,-0.13,-9.75,0.0
24.944,-0.14,-9.94,-0.08
24.96,-0.19,-9.89,-0.04
24.976,-0.29,-9.79,-0.19
24.992,-0.15,-9.9,-0.02
25.008,-0.14,-9.86,0.08
25.024,-0.2,-9.78,0.01
25.04,-0.08,-9.75,0.15
25.056,-0.15,-9.86,0.05
25.072,-0.23,-9.82,0.03
25.088,-0.06,-9.84,0.07
25.104,-0.22,-9.84,-0.04
25.12,-0.13,-9.8,-0.01
25.136,-0.12,-9.79,0.09
25.152,-0.12,-9.92,0.03
25.168,0.01,-9.9,-0.1
25.184,-0.11,-9.82,-0.02
25.2,0.01,-9.83,-0.06
25.216,-0.06,-9.86,-0.02
25.232,-0.2,-9.81,0.1
25.248,-0.12,-9.82,-0.04
25.264,-0.06,-9.78,0.08
25.28,-0.15,-9.83,0.08
25.296,-0.18,-9.82,-0.01
25.312,-0.03,-9.83,-0.11
25.328,-0.08,-9.79,0.01
25.344,-0.19,-9.8,-0.04
25.36,-0.17,-9.81,0.06
25.376,-0.01,-9.74,-0.05
25.392,-0.13,-9.8,0.09
25.408,-0.1,-9.85,0.09
25.424,-0.14,-9.91,0.04
25.44,-0.11,-9.81,0.22
25.456,-0.11,-9.83,0.11
25.472,-0.12,-9.74,0.02
25.488,-0.1,-9.89,0.11
25.504,-0.01,-9.79,0.03
25.52,-0.05,-9.87,0.12
25.536,-0.09,-9.81,0.05
25.552,-0.11,-9.83,0.15
25.568,0.09,-9.78,-0.01
25.584,-0.09,-9.75,-0.04
25.6,-0.09,-9.79,-0.13
25.616,-0.12,-9.87,0.01
25.632,-0.12,-9.86,-0.02
25.648,-0.09,-9.82,-0.0
25.664,-0.15,-9.87,0.04
25.68,-0.21,-9.79,0.11
25.696,-0.24,-9.8,0.07
25.712,-0.15,-9.75,0.04
25.728,-0.14,-9.78,0.06
25.744,-0.27,-9.77,0.05
25.76,-0.15,-9.82,0.11
25.776,-0.15,-9.89,0.13
25.792,-0.14,-9.83,0.23
25.808,-0.22,-9.79,0.1
25.824,-0.07,-9.84,0.21
25.84,-0.12,-9.81,0.02
25.856,-0.13,-9.76,0.05
25.872,-0.13,-9.77,0.09
25.888,-0.15,-9.78,0.08
25.904,-0.17,-9.85,-0.06
25.92,-0.03,-9.9,0.12
25.936,-0.06,-9.82,-0.02
25.952,-0.01,-9.74,-0.02
25.968,-0.05,-9.87,0.18
25.984,-0.15,-9.87,-0.13
26.0,-0.12,-9.85,-0.09
26.016,-0.1,-9.87,0.04
26.032,-0.03,-9.88,-0.12
26.048,-0.13,-9.93,0.08
26.064,-0.16,-9.82,0.09
26.08,-0.15,-9.75,0.21
26.096,-0.11,-9.81,-0.0
26.112,-0.1,-9.86,0.04
26.128,-0.07,-9.85,0.0
26.144,-0.12,-9.83,0.08
26.16,-0.11,-9.87,0.01
26.176,-0.02,-9.86,0.11
26.192,-0.02,-9.88,0.15
26.208,-0.09,-9.83,-0.08
26.224,-0.08,-9.81,0.05
26.24,-0.02,-9.72,0.07
26.256,-0.12,-9.88,-0.03
26.272,-0.14,-9.85,0.07
26.288,-0.06,-9.86,0.13
26.304,-0.13,-9.82,0.11
26.32,-0.14,-9.87,0.06
26.336,-0.2,-9.9,0.08
26.352,-0.1,-9.83,-0.02
26.368,-0.16,-9.81,-0.02
26.384,-0.1,-9.78,0.1
26.4,-0.24,-9.84,0.06
26.416,-0.17,-9.81,0.1
26.432,-0.09,-9.88,0.01
26.448,-0.15,-9.9,0.15
26.464,-0.19,-9.81,0.01
26.48,-0.09,-9.79,0.0
26.496,-0.15,-9.84,0.22
26.512,-0.15,-9.8,-0.03
26.528,-0.24,-9.75,-0.03
26.544,-0.1,-9.83,-0.06
26.56,-0.2,-9.82,0.0
26.576,-0.23,-9.87,0.09
26.592,-0.25,-9.87,0.05
26.608,-0.2,-9.84,0.07
26.624,-0.12,-9.88,-0.01
26.64,-0.22,-9.81,0.09
26.656,-0.3,-9.82,0.02
26.672,-0.28,-9.82,-0.01
26.688,-0.19,-9.78,0.05
26.704,-0.17,-9.85,0.02
26.72,-0.18,-9.83,0.19
26.736,-0.2,-9.88,0.07
26.752,-0.13,-9.76,-0.01
26.768,-0.18,-9.8,0.16
26.784,-0.12,-9.83,0.1
26.8,-0.11,-9.84,0.08
26.816,-0.14,-9.88,0.0
26.832,-0.04,-9.8,0.14
26.848,-0.14,-9.8,-0.04
26.864,-0.14,-9.84,-0.01
26.88,-0.02,-9.83,0.15
26.896,-0.02,-9.84,0.09
26.912,0.01,-9.82,0.16
26.928,-0.11,-9.82,0.06
26.944,-0.08,-9.86,0.1
26.96,-0.14,-9.86,0.18
26.976,-0.05,-9.8,0.1
26.992,-0.09,-9.78,-0.01
27.008,-0.19,-9.75,0.15
27.024,-0.06,-9.84,0.19
27.04,-0.11,-9.85,0.08
27.056,-0.12,-9.83,0.08
27.072,-0.11,-9.83,-0.03
27.088,-0.16,-9.78,0.13
27.104,-0.13,-9.78,-0.02
27.12,-0.08,-9.82,-0.06
27.136,-0.03,-9.73,0.08
27.152,-0.05,-9.85,0.1
27.168,-0.04,-9.84,-0.02
27.184,-0.03,-9.94,0.05
27.2,-0.09,-9.89,-0.05
27.216,-0.12,-9.85,0.12
27.232,-0.04,-9.9,-0.02
27.248,-0.18,-9.82,0.14
27.264,-0.11,-9.77,-0.08
27.28,-0.12,-9.85,0.02
27.296,-0.15,-9.75,0.03
27.312,-0.02,-9.87,0.01
27.328,-0.15,-9.82,0.09
27.344,-0.04,-9.86,-0.06
27.36,-0.12,-9.83,0.03
27.376,-0.12,-9.85,0.03
27.392,-0.23,-9.81,0.03
27.408,-0.21,-9.78,0.02
27.424,-0.11,-9.78,-0.01
27.44,-0.18,-9.8,0.03
27.456,-0.26,-9.75,0.04
27.472,-0.09,-9.81,-0.01
27.488,-0.19,-9.82,0.05
27.504,-0.16,-9.88,-0.12
27.52,-0.14,-9.8,0.2
27.536,-0.16,-9.81,0.03
27.552,-0.15,-9.77,-0.03
27.568,-0.05,-9.91,0.08
27.584,-0.21,-9.84,-0.04
27.6,-0.16,-9.8,0.07
27.616,-0.17,-9.82,0.1
27.632,-0.11,-9.86,0.08
27.648,-0.17,-9.78,-0.02
27.664,-0.15,-9.86,0.1
27.68,-0.22,-9.86,0.13
27.696,-0.11,-9.85,0.06
27.712,-0.1,-9.75,-0.06
27.728,-0.07,-9.86,0.04
27.744,-0.1,-9.87,-0.04
27.76,-0.12,-9.96,0.02
27.776,-0.12,-9.82,-0.05
27.792,-0.05,-9.87,0.01
27.808,-0.07,-9.85,-0.07
27.824,0.05,-9.78,-0.09
27.84,-0.15,-9.89,0.11
27.856,-0.07,-9.78,-0.05
27.872,-0.07,-9.83,0.1
27.888,-0.04,-9.82,0.08
27.904,-0.04,-9.84,0.14
27.92,-0.09,-9.88,0.05
27.936,-0.1,-9.85,0.17
27.952,-0.14,-9.86,0.13
27.968,-0.06,-9.83,0.08
27.984,-0.08,-9.84,0.06
28.0,-0.17,-9.82,0.13
28.016,-0.12,-9.76,0.12
28.032,-0.13,-9.87,-0.05
28.048,-0.09,-9.8,0.09
28.064,-0.11,-9.81,0.09
28.08,-0.12,-9.81,0.0
28.096,-0.13,-9.79,0.13
28.112,-0.14,-9.78,0.1
28.128,-0.09,-9.89,0.21
28.144,-0.19,-9.79,-0.01
28.16,-0.16,-9.9,0.06
28.176,-0.19,-9.81,0.03
28.192,-0.16,-9.77,0.1
28.208,-0.05,-9.86,0.15
28.224,-0.12,-9.83,-0.01
28.24,-0.14,-9.81,-0.01
28.256,-0.23,-9.78,0.06
28.272,-0.22,-9.69,0.08
28.288,-0.22,-9.83,0.05
28.304,-0.15,-9.79,0.09
28.32,-0.2,-9.8,0.0
