time (seconds),accelerometer X (m/sec^2 highlighted),accelerometer Y (m/sec^2 highlighted),accelerometer Z (m/sec^2 highlighted)
24.963,-1.07,-9.72,-3.99
24.98,0.17,-9.42,-4.26
24.997,-0.67,-9.09,-3.39
25.013,-0.24,-8.6,-3.46
25.03,-1.21,-8.75,-3.46
25.047,-1.17,-9.1,-3.83
25.063,0.07,-9.33,-3.89
25.08,-0.86,-9.79,-4.49
25.097,0.11,-9.26,-4.33
25.113,-0.37,-8.68,-2.83
25.13,-0.86,-8,-2.47
25.147,0.05,-8.36,-3.38
25.163,-0.47,-8.53,-3.39
25.18,-0.83,-9.28,-3.85
25.197,0.55,-9.17,-4.29
25.213,0.01,-9.15,-4.32
25.23,0.73,-8.88,-4.02
25.247,-0.7,-9.05,-3.52
25.263,-0.33,-8.74,-3.37
25.28,-1.38,-9.12,-3.18
25.297,-1.23,-9.55,-3.37
25.313,-1.02,-9.37,-3.59
25.33,-0.07,-9.27,-3.92
25.347,0.25,-8.74,-4.01
25.363,0.29,-8.75,-4.31
25.38,-0.13,-7.98,-3.76
25.397,-1.68,-8.33,-2.34
25.413,-0.28,-7.73,-2.74
25.43,-0.89,-8.46,-3.62
25.447,-0.18,-8.73,-4.19
25.463,-0.08,-9.35,-4.03
25.479,-0.23,-9.72,-4.57
25.497,-0.83,-10.14,-4.24
25.513,-0.22,-10.09,-3.98
25.53,-0.82,-9.71,-3.75
25.547,0.1,-8.59,-3.67
25.563,-0.71,-8.59,-3.6
25.579,-0.9,-8.81,-3.67
25.597,-0.72,-8.45,-4.67
25.613,-0.46,-8.17,-5.19
25.63,0.02,-7.9,-4.37
25.647,-1.21,-8.47,-3.29
25.663,-0.13,-8.25,-3.11
25.68,-0.7,-8.62,-3.41
25.697,-0.18,-8.86,-4.11
25.713,-0.56,-9.26,-4.34
25.73,0.13,-9.58,-4.98
25.747,-0.03,-9.43,-5.5
25.763,0.19,-9.37,-5.53
25.78,-1.06,-8.81,-4.36
25.797,-1.66,-9.15,-2.72
25.813,-1.65,-8.97,-2.13
25.83,-0.81,-9.16,-2.78
25.847,-0.63,-8.9,-4.6
25.863,-0.24,-8.69,-5.16
25.88,0.26,-7.66,-5.66
25.897,0.25,-7.58,-5.14
25.913,-0.05,-7.3,-4.58
25.93,-1.06,-7.98,-3.59
25.947,-1.23,-9.07,-2.89
25.963,-1.02,-9.06,-3.36
25.98,0.12,-8.72,-4.53
25.997,0.11,-8.73,-5.08
26.013,-0.03,-8.7,-4.98
26.03,-0.27,-8.45,-4.85
26.047,-0.2,-8.44,-4.56
26.063,-0.81,-8.35,-3.9
26.08,-0.92,-9.14,-3.31
26.097,-0.6,-8.99,-4.08
26.112,-1.18,-9.29,-4.47
26.129,-0.4,-8.86,-4.7
26.147,-0.64,-8.71,-4.83
26.163,-0.18,-7.85,-4.22
26.18,-1,-8.69,-3.78
26.197,0.28,-8.89,-3.8
26.213,-1.01,-9.24,-4.86
26.23,-0.31,-9.03,-5.73
26.247,-0.47,-9.29,-5.38
26.263,-0.09,-8.64,-4.27
26.28,-0.33,-8.24,-3.36
26.297,-0.43,-8.23,-3.4
26.313,-0.54,-8.2,-3.34
26.33,-1.01,-8.55,-3.89
26.347,-1.07,-8.52,-4.32
26.363,-0.38,-9.13,-4.95
26.38,0.03,-9.16,-5.42
26.397,-0.03,-9.16,-5.61
26.413,0.09,-9.05,-5.33
26.43,-0.01,-8.61,-4.7
26.447,-0.24,-8.69,-4.2
26.463,-0.67,-8.95,-3.36
26.479,-1,-9.02,-3.43
26.497,-0.58,-9.27,-3.71
26.513,-0.2,-9.16,-4.53
26.53,-0.4,-9.19,-4.91
26.547,-0.27,-9.25,-4.88
26.562,-0.69,-9.29,-3.54
26.58,-0.43,-8.62,-2.74
26.596,-0.78,-8.52,-2.48
26.613,-0.87,-8.33,-2.84
26.63,-0.88,-8.93,-3.72
26.647,-0.47,-8.88,-4.24
26.663,-0.35,-8.92,-4.98
26.68,-1.48,-9.66,-3.44
26.697,0.03,-8.85,-3.04
26.713,-1.36,-8.91,-3.4
26.73,-1.01,-8.38,-4.35
26.747,-0.94,-8.72,-4.4
26.763,-0.2,-8.92,-4.15
26.78,-0.81,-8.99,-4.14
26.797,-0.45,-9.02,-4.5
26.813,-0.65,-9.55,-4.1
26.83,-0.56,-8.85,-4.04
26.847,-1.21,-9.23,-3.96
26.863,-0.08,-8.32,-4.48
26.88,-0.73,-8.22,-3.69
26.897,-0.73,-8.16,-3.25
26.913,-1.53,-8.3,-3.15
26.93,-1.28,-8.81,-3.86
26.947,-1.49,-9.03,-4.5
26.963,-0.8,-9.27,-5.51
26.98,0.68,-8.41,-5.57
26.997,0.49,-7.77,-5.38
27.013,-0.45,-7.92,-4.3
27.03,-0.7,-8.25,-3.96
27.047,-1.6,-9.02,-3.86
27.063,-1.67,-9.73,-4.03
27.08,-1.45,-9.79,-4.33
27.097,-0.52,-9.49,-4.88
27.113,0.38,-8.61,-5.43
27.13,0.48,-8.1,-5.52
27.147,-0.73,-7.67,-4.91
27.163,-1.92,-8.68,-3.1
27.18,-1.73,-8.51,-2.29
27.197,-1.2,-8.99,-1.78
27.213,0.52,-8.68,-3.25
27.23,1.2,-8.9,-3.88
27.247,0.98,-9.26,-4.8
27.263,0.79,-9.54,-4.59
27.28,0.86,-9.43,-4.18
27.297,-0.02,-8.92,-3.54
27.313,-1,-9.32,-3.75
27.33,-1.19,-9.33,-4
27.347,-1.34,-9.1,-5.26
27.363,-0.01,-8.52,-7.12
27.38,0.14,-8.56,-7.42
27.397,-0.84,-7.91,-5.89
27.413,-0.77,-8.84,-3.65
27.43,-0.99,-9.38,-2.92
27.447,-0.36,-9.49,-2.41
27.463,-1.01,-9.33,-3.79
27.48,-1.07,-9.72,-4.48
27.497,-0.52,-9.83,-5.71
27.513,0.17,-10.49,-5.87
27.53,0.47,-10.13,-5.72
27.547,0.78,-10.09,-5.11
27.563,0,-8.74,-4.64
27.58,-1.18,-9.49,-4.26
27.596,-1.92,-9.43,-4.61
27.613,-0.98,-9.47,-6.61
27.63,-0.72,-8.6,-7.28
27.647,-1.07,-8.37,-6.59
27.663,-1.74,-8.48,-3.9
27.68,-1.33,-9.8,-2.76
27.697,-0.45,-10.03,-3
27.713,-0.72,-10.07,-5.9
27.73,-0.1,-9.89,-6.98
27.747,0.04,-9.89,-8.09
27.763,0.73,-8.89,-7.02
27.78,0.25,-8.95,-5.89
27.797,-0.77,-8.78,-4.2
27.813,-0.78,-8.96,-4.2
27.83,-1.3,-9.15,-4.41
27.847,-0.93,-8.47,-6.01
27.863,-0.5,-8.21,-6.68
27.88,-0.5,-7.78,-6.75
27.897,-1.02,-8.97,-5.49
27.913,-0.85,-8.54,-4.52
27.93,-0.46,-8.66,-4.63
27.947,-1.11,-8.12,-6.08
27.963,-0.9,-9.27,-6.68
27.98,-0.48,-8.7,-6.65
27.997,-0.1,-8.75,-5.15
28.013,-0.22,-8.06,-4.4
28.03,-0.98,-8.13,-3.43
28.047,-1.16,-7.2,-3.01
28.063,-0.9,-7.71,-3.27
28.08,-0.7,-7.57,-4.54
28.097,-0.24,-8.97,-5.4
28.113,0.3,-8.17,-5.87
28.13,0.5,-9.14,-5.32
28.147,0.02,-8.62,-4.35
28.163,-0.57,-8.65,-3.96
28.18,-0.84,-8.78,-4.16
28.197,-1.22,-9.39,-4.91
28.213,-0.5,-8.74,-5.6
28.23,-0.26,-9.72,-5.82
28.246,0.29,-8.78,-5.03
28.263,-0.37,-9.33,-4.61
28.28,-0.55,-8.08,-4.46
28.297,-0.81,-8.33,-3.94
28.313,-0.41,-7.85,-3.69
28.33,-0.6,-9.19,-4.03
28.347,0.57,-7.91,-4.72
28.363,-0.62,-8.79,-4.86
28.38,-0.03,-8.35,-4.23
28.397,-0.68,-8.79,-4.49
28.413,-0.66,-8.98,-4.56
28.43,-0.91,-9.11,-5.31
28.447,-0.09,-8.9,-6.09
28.463,-0.53,-9.41,-6.1
28.48,0.4,-8.2,-6.15
28.497,-0.73,-8.09,-5.35
28.513,-0.1,-8.03,-4.35
28.53,-0.55,-9.49,-4.18
28.547,-0.36,-8.88,-4.5
28.563,-0.8,-9.06,-5.18
28.58,0.11,-8.23,-6.13
28.597,0.06,-8.11,-4.96
28.613,0.05,-8.43,-4.28
28.63,-0.11,-8.43,-4.53
28.647,-0.25,-8.16,-4.65
28.663,-0.78,-8.52,-5.21
28.68,-0.11,-7.92,-5.15
28.697,0.12,-7.87,-4.84
28.713,-0.25,-8.37,-4.67
28.73,-0.46,-8.91,-5.54
28.747,-0.2,-8.68,-5.43
28.763,-0.23,-8.78,-5.12
28.78,0.11,-8.39,-4.02
28.797,-0.98,-8.93,-4.09
28.813,-0.73,-8.53,-4.13
28.83,0.13,-8.06,-4.62
28.847,0.68,-8.8,-5.19
28.863,0.1,-8.73,-5.88
28.88,-0.38,-8.6,-5.11
28.897,-0.69,-8.98,-5.11
28.913,-0.59,-8.86,-4.49
28.93,-0.55,-8.5,-4.69
28.947,-0.6,-8.91,-4.5
28.963,-0.38,-8.08,-4.7
28.98,0.68,-8.12,-3.52
28.997,-0.05,-8.36,-3.83
29.013,-0.22,-8.35,-3.61
29.03,-0.33,-8.72,-4.87
29.047,-0.44,-8.75,-4.59
29.063,-0.4,-8.85,-5.03
29.08,-0.88,-8.53,-4.31
29.097,-0.71,-9.04,-4.18
29.113,0.08,-9.15,-3.98
29.13,-1.58,-9.48,-4.39
29.147,-1.66,-9.62,-3.71
29.163,-1.19,-9.59,-4.36
29.18,-0.1,-8.56,-3.23
29.197,-1.23,-9.89,-4.24
29.213,-0.06,-8.12,-4.11
29.23,-0.11,-8.45,-5.05
29.247,-0.4,-8.31,-4.44
29.263,-2.06,-9.29,-5.22
29.279,-1.92,-8.8,-5.74
29.297,-1.3,-8.58,-6.16
29.316,-0.85,-8.48,-5.54
29.335,0.05,-8.12,-5.74
29.352,0.59,-7.8,-4.83
29.368,-0.49,-8.95,-4.04
29.386,-1.15,-8.22,-4.67
29.402,-1.5,-8.4,-4.87
29.418,-1.96,-8.59,-4.8
29.435,-1.12,-9.17,-5.12
29.452,-0.14,-8.41,-4.52
29.468,-0.51,-9.97,-5.43
29.485,-0.5,-9.32,-4.66
29.502,-1.28,-9.5,-4.07
29.519,-1.69,-8.81,-3.34
29.535,-0.98,-8.1,-4.85
29.552,-0.3,-7.23,-4.78
29.568,-1.32,-8.24,-4.55
29.586,-0.97,-7.75,-4.71
29.602,-0.54,-7.66,-4.56
29.619,-0.14,-8.29,-4.34
29.635,-0.72,-9.55,-4.39
29.651,-1.05,-10.37,-4.47
29.668,-1.08,-10.71,-4.83
29.685,0.48,-8.96,-4.98
29.701,0.62,-8.23,-5.08
29.718,-0.25,-8.31,-4.69
29.735,-1.46,-9.14,-4.18
29.752,-1.75,-8.9,-4.15
29.768,-1.33,-8.61,-4.38
29.785,-0.84,-8.99,-3.87
29.801,-0.94,-8.15,-4.01
29.818,-0.81,-8.18,-4.15
29.835,-0.99,-7.93,-4.59
29.851,-1.13,-8.6,-3.86
29.868,-0.12,-8.94,-5.14
29.886,-0.41,-9.76,-6.21
29.901,0.03,-8.96,-6.56
29.918,-1.22,-8.89,-5.07
29.934,-1.19,-8.88,-3.63
29.951,-1.55,-8.69,-2.75
29.968,-1.64,-7.67,-3.22
29.984,-1.62,-8.04,-4.15
30.001,-0.76,-7.99,-5.24
30.018,-1.92,-9.07,-5.57
30.035,-0.99,-8.38,-5.61
30.051,-0.83,-8.92,-5.13
30.068,-1.32,-8.92,-4.19
30.085,-0.62,-9.54,-3.61
30.101,-0.09,-8.68,-3.35
30.118,0.25,-9.47,-2.89
30.134,-0.99,-9.33,-4.09
30.151,-0.76,-8.67,-5.1
30.168,-1.12,-8.6,-5.02
30.185,-0.49,-8.39,-4.97
30.201,-0.45,-8.56,-5.28
30.217,-0.32,-8.78,-4.38
30.234,-1.01,-9.2,-3.77
30.251,-0.99,-8.73,-2.34
30.267,-1,-8.54,-2.6
30.284,-0.39,-8.71,-3
30.3,-1.17,-9.67,-5.1
30.318,-1.23,-8.4,-5.25
30.334,-1.42,-8.76,-4.9
30.351,-1.11,-8.75,-4.41
30.367,-1.95,-9.32,-3.58
30.384,-2.28,-8.6,-2.97
30.401,-1.44,-8.78,-2.77
30.417,-1.71,-8.27,-5.03
30.434,-1.69,-7.97,-6.2
30.451,-2.22,-7.7,-6.06
30.468,-2.6,-9.22,-4.69
30.484,-3.2,-8.81,-4.43
30.501,-2.68,-9.7,-3.81
30.518,-3.33,-8.59,-5.59
30.534,-2.46,-8.61,-6.07
30.552,-1.09,-8.83,-6.41
30.566,-0.24,-8.29,-3.74
30.584,-1.16,-9.49,-3.31
30.601,-0.86,-8.16,-3.74
30.617,-2.47,-8.49,-4.79
30.634,-1.08,-8.47,-4.69
30.651,-1.09,-8.98,-4.49
30.667,-1.07,-8.34,-4.84
30.683,-1.41,-8.72,-4.41
30.7,-1.74,-8.91,-3.7
30.717,-2.39,-9.54,-4.43
30.733,-1.63,-8.4,-4.56
30.75,-1.58,-9.01,-4.57
30.767,-1.35,-9.08,-4.66
30.784,-0.62,-9.26,-4.73
30.8,-2.78,-8.65,-5.55
30.817,-1.53,-8.69,-5.34
30.834,-1.63,-8.05,-5.3
30.851,-0.51,-7.81,-3.68
30.867,-1.69,-7.97,-3.44
30.884,-0.23,-8.01,-3.42
30.9,-1.91,-7.91,-4.2
30.917,-1.25,-7.92,-4.22
30.933,-1.07,-8.8,-4.53
30.95,-0.87,-8.65,-5.03
30.967,-0.84,-8.79,-5.15
30.984,-1.48,-8.8,-5.7
31,-2.03,-8.83,-5.35
31.016,-1.51,-8.09,-5.46
31.033,-2.08,-7.64,-5.44
31.05,-2.23,-8.24,-5.07
31.067,-0.77,-8.84,-4.91
31.084,-1.35,-9.51,-5.76
31.1,-0.38,-9.29,-6.17
31.117,-1.21,-9.05,-5.86
31.133,-0.64,-8.13,-4.54
31.151,-2.12,-9.83,-5.27
31.166,-1.31,-8.66,-5.17
31.183,-1.09,-9.09,-4.99
31.2,-0.61,-7.57,-5.09
31.216,-1.22,-8.7,-5.1
31.233,-1.94,-8.88,-5.64
31.25,-2.21,-8.63,-5.15
31.266,-1.42,-8.39,-4.66
31.283,-0.85,-8.17,-3.68
31.3,-0.99,-8.49,-3.53
31.317,-1.55,-8.85,-4.25
31.333,-1.7,-8.17,-5.18
31.35,-1.14,-8.61,-5.31
31.366,-1.44,-8.64,-5.93
31.383,-0.9,-8.63,-5
31.399,-1.78,-8.81,-4.28
31.416,-1.72,-8.67,-3.33
31.433,-1.28,-9.19,-2.59
31.449,-1.63,-8.7,-4.86
31.465,-1.41,-8.42,-5.43
31.484,-0.77,-8.44,-4.15
31.5,-1.51,-9.23,-4.42
31.517,-1.57,-8.2,-4.3
31.533,-1.44,-8.98,-5.04
31.549,-0.38,-8.2,-4.14
31.566,-0.8,-9.3,-4.16
31.583,-1.27,-9.13,-4.8
31.6,-1.31,-9.42,-5.1
31.616,-1.53,-9.16,-5.51
31.633,-0.7,-9.02,-4.12
31.65,-1.61,-8.64,-4.15
31.667,-0.79,-8.54,-3.75
31.683,-1.35,-8.46,-5.13
31.699,-0.67,-8.24,-3.55
31.716,-1.64,-8.72,-4.09
31.732,-0.6,-8.06,-4.28
31.75,-1.49,-8.8,-5.3
31.766,-0.93,-7.82,-4.06
31.783,-0.83,-9.12,-5.42
31.8,-1.01,-8.73,-6.63
31.816,-0.58,-8.72,-4.81
31.833,-0.4,-8.32,-2.48
31.85,-1.05,-8.62,-3.57
31.866,-0.83,-7.7,-6.72
31.883,-0.69,-8.61,-6.83
31.899,0.41,-7.65,-5.23
31.916,-0.76,-8.74,-4.78
31.933,-0.17,-8.61,-4.71
31.949,-0.57,-8.52,-5.43
31.965,0.49,-8.02,-4.86
31.982,-0.66,-8.54,-6.08
31.999,0.02,-8.05,-5.93
32.015,-1.14,-8.37,-5.47
32.033,-0.76,-8.52,-4.57
32.049,-1.95,-9.38,-5.16
32.065,-0.55,-8.95,-5.51
32.083,0.1,-8.75,-4.71
32.099,0.76,-8.95,-4.59
32.116,-0.28,-9.05,-6.04
32.132,-0.03,-8.67,-5.6
32.149,0.5,-8.06,-5.01
32.165,-0.74,-7.95,-5.62
32.182,0.39,-7.88,-6.38
32.199,-0.87,-7.5,-6.22
32.215,0.5,-7,-4.28
32.232,-1.71,-7.97,-5.55
32.249,-0.34,-8.35,-5.9
32.266,-1.21,-8.23,-6.08
32.282,-1.28,-8.73,-5.35
32.299,-1.53,-8.12,-6.89
32.315,-0.05,-7.47,-6.75
32.332,-0.61,-7.29,-4.91
32.349,-0.44,-8.35,-4.72
32.365,0.14,-7.26,-5.77
32.382,-1.68,-8.76,-5.62
32.398,-0.5,-8.4,-4.75
32.416,-1.12,-9.16,-5.86
32.432,-0.09,-7.93,-6.38
32.449,-0.94,-8.47,-5.89
32.465,-0.9,-7.65,-4.9
32.482,-1.29,-8.09,-5.3
32.498,-1.39,-7.34,-5.41
32.516,-1.38,-8.13,-4.91
32.532,-1.04,-8.58,-5.69
32.549,-0.91,-8.48,-6.61
32.565,-1.14,-8.84,-7.26
32.581,0.74,-8.51,-5.16
32.598,-0.6,-9.22,-5.46
32.616,-0.14,-7.9,-5.56
32.632,-0.17,-8.06,-4.82
32.648,0.41,-7.89,-5.27
32.665,-0.59,-7.53,-6.31
32.682,-1.46,-7.94,-6.22
32.699,-0.68,-7.93,-5.82
32.716,-1.21,-8.31,-5.54
32.732,-1.06,-7.37,-6.13
32.749,-1.35,-7.71,-5.93
32.765,-0.21,-7.41,-5.24
32.782,-1.82,-7.57,-4.82
32.798,-1,-8.47,-5.12
32.815,-0.47,-8.4,-6.03
32.832,0.23,-8.62,-6.75
32.849,0.6,-8.18,-7.49
32.865,-0.26,-8.16,-6.97
32.88,-0.29,-8.47,-5.98
32.898,-0.82,-8.9,-5.3
32.914,-0.7,-8.43,-6.13
32.93,-0.73,-7.93,-6.19
32.948,-0.06,-7.61,-5.03
32.965,-0.42,-7.43,-4.78
32.981,-1.27,-7.96,-5.12
32.998,-1.1,-8.46,-5.06
33.015,-0.96,-8.42,-5.3
33.031,-0.67,-7.97,-6
33.048,-0.73,-7.85,-6.53
33.064,-0.57,-7.54,-5.8
33.082,-1.08,-8.13,-5.15
33.098,-1.51,-8.38,-4.97
33.115,-0.16,-7.54,-5.02
33.131,0.41,-7.15,-5.48
33.148,-1.09,-7.9,-5.88
33.164,-0.86,-8.13,-6.85
33.181,-1.27,-8.35,-6.38
33.198,-1.19,-8.77,-5.68
33.214,-0.7,-8.14,-5.82
33.231,-1.07,-8.54,-5.85
33.248,-0.41,-8.42,-4.92
33.264,-1.73,-8.68,-5.36
33.281,-0.91,-8.69,-5.57
33.298,-1.28,-7.92,-5.51
33.314,-1.14,-8.2,-4.93
33.331,-2.3,-7.75,-5.19
33.347,-0.96,-7.47,-5.6
33.364,0.61,-7.46,-6.13
33.381,-0.25,-8.45,-6.07
33.398,0.36,-8.51,-6.61
33.414,-1.48,-8.55,-5.79
33.431,-0.06,-7.78,-5.42
33.448,-2.02,-8.36,-4.83
33.463,-0.96,-7.86,-6.03
33.48,-1.33,-7.74,-5.94
33.497,-1.34,-8.03,-5.52
33.514,-1.05,-8.21,-6.45
33.531,-0.49,-7.71,-6.35
33.548,-1.23,-8.33,-5.41
33.564,-1.08,-8.59,-4.61
33.581,-0.92,-8.27,-5.21
33.597,-0.9,-7.88,-5.88
33.614,-0.01,-7.59,-5.53
33.631,-1.25,-8.69,-5.55
33.647,0.09,-7.26,-5.94
33.664,-0.67,-7.78,-4.61
33.681,-0.96,-7.98,-4.57
33.697,-0.64,-9.03,-6.01
33.714,-0.14,-8.76,-6.62
33.731,-0.6,-8.9,-6.34
33.747,-1.35,-9.01,-5.87
33.764,-1.64,-9.42,-5.6
33.781,-1.6,-8.45,-4.83
33.797,-0.67,-7.97,-4.29
33.814,-1.27,-8.09,-4.29
33.831,-0.84,-7.84,-4.76
33.847,-1.71,-8.14,-5.16
33.863,-1.29,-8.26,-5.26
33.881,-2.25,-8.1,-5.58
33.897,-1.36,-8.28,-5.74
33.914,-2.06,-8.15,-5.42
33.93,-1.08,-7.9,-5.05
33.947,-1.3,-8.35,-5.59
33.964,-1.08,-9.08,-6.08
33.98,-0.5,-8.84,-6.23
33.997,-1.21,-8.73,-4.71
34.014,-2.09,-8.29,-4.46
34.031,-0.79,-7.88,-4.3
34.047,-1.78,-8.36,-4.8
34.064,-0.54,-8.34,-5.05
34.08,-1.27,-8.51,-5.95
34.097,-0.46,-7.81,-6.3
34.114,-1.18,-7.81,-5.58
34.13,-1,-7.65,-4.61
34.147,-0.89,-7.46,-4.96
34.163,-1.23,-7.89,-4.86
34.18,-1.22,-8.66,-5.15
34.197,-1.19,-9.12,-5.15
34.213,-1.3,-8.68,-5.74
34.23,-0.6,-8.66,-6.33
34.247,-0.93,-9.01,-5.15
34.263,-0.81,-8.28,-4.81
34.28,-1.1,-8.24,-4.32
34.297,-1.28,-8,-4.93
34.314,-0.91,-7.95,-5.17
34.33,-0.31,-7.78,-5.51
34.347,-0.24,-8.57,-5.8
34.363,-1.16,-8.64,-5.64
34.38,-1,-8.68,-4.67
34.397,-1.96,-8.97,-4.76
34.413,-1.45,-8.2,-5.82
34.43,-0.72,-8.12,-6.28
34.447,-0.49,-8.58,-5.18
34.463,-0.38,-8.33,-4.65
34.48,-1.12,-8.65,-4.57
34.497,-0.99,-8.4,-4.62
34.514,-1.16,-8.02,-4.62
34.53,-1.26,-8.62,-4.38
34.547,-0.79,-9.26,-5.23
34.563,-0.75,-8.32,-5.34
34.58,-0.53,-8.3,-5.14
34.597,-1.41,-8.35,-5.67
34.613,-1.07,-8.23,-6.24
34.63,-1.22,-8.54,-5.66
34.647,-1.17,-8.62,-3.85
34.663,-0.63,-7.89,-3.72
34.68,-0.75,-7.87,-4.55
34.697,-2,-8.72,-5.79
34.713,-0.79,-8.49,-6.25
34.73,-0.67,-8.66,-5.03
34.747,-1.32,-8.92,-5.22
34.763,-1.44,-8.35,-4.47
34.78,-1.22,-8.5,-4.26
34.797,-0.63,-8.51,-4.42
34.813,-1.18,-8.86,-5.37
34.83,-1.15,-8.88,-4.88
34.847,-1.43,-9.03,-4.24
34.863,-0.78,-8.34,-3.24
34.88,-2.46,-8.53,-4.66
34.897,-1.46,-8.27,-5.29
34.913,-1.23,-7.99,-5.17
34.93,-1.29,-8.87,-4.97
34.947,-2.34,-8.23,-5.58
34.963,-1.44,-8.69,-4.9
34.98,-1.76,-8.07,-4.1
34.997,-1.53,-8.35,-4.96
35.013,-1.22,-8.68,-7.19
35.03,-1.23,-9.03,-3.58
35.047,-1.47,-8.12,-3.1
35.063,-1.06,-8.24,-3.87
35.079,-1.93,-7.91,-5.95
35.097,-1.44,-8.61,-6.79
35.113,-1.01,-7.92,-5.67
35.13,-0.88,-8.4,-3.86
35.147,-2.15,-8.45,-4.72
35.163,-1.55,-7.89,-4.39
35.18,-2.17,-8.28,-5.19
35.197,-1.24,-8.14,-5.37
35.213,-0.9,-8.44,-5.87
35.23,-1.24,-8.72,-5.86
35.247,-1.59,-8.35,-5.87
35.263,-1.35,-7.37,-3.21
35.28,-1.71,-7.9,-4.59
35.297,-1.65,-8.52,-6.43
35.313,-1.61,-8.68,-5.53
35.33,-2.08,-8.26,-4.61
35.347,-1.97,-8.74,-6.07
35.363,-1.89,-8.03,-5.41
35.38,-2.1,-8.31,-3.88
35.397,-1.7,-8.87,-3.21
35.413,-1.81,-9.52,-3.18
35.43,-1.83,-9.97,-5.11
35.447,-1.32,-9.48,-6.41
35.463,-0.54,-6.72,-8.61
35.479,0.27,-6.25,-8.56
35.497,-0.05,-7.93,-6.66
35.513,-1.88,-8.22,-4.74
35.53,-1.66,-8.55,-3.39
35.547,-1.41,-9.28,-4.23
35.563,0.23,-8.87,-5.91
35.58,0.14,-7.85,-6.91
35.597,-0.13,-8.1,-6.98
35.613,-0.37,-7.82,-5.85
35.63,0.13,-7.92,-4.36
35.647,-0.67,-7.12,-4.12
35.663,-2.32,-8.96,-3.46
35.68,-2.07,-9.39,-4.59
35.697,-1.12,-9.19,-5.04
35.713,-1.53,-8.78,-5.52
35.73,-1.07,-7.69,-5.67
35.747,-1.27,-7.69,-7.1
35.763,-2.61,-8.25,-4.57
35.78,-2.39,-8.15,-3.35
35.797,-1.68,-7.69,-2.62
35.813,-1.02,-7.72,-5.69
35.83,-1.09,-7.2,-6.41
35.847,-0.94,-8.86,-5.06
35.863,-1.15,-9.83,-4.17
35.88,-2.16,-9.73,-3.79
35.896,-3.31,-10.28,-3.25
35.913,-2.92,-9.25,-2.17
35.93,-2.96,-8.6,-1.13
35.947,-2.67,-8.72,-3.89
35.963,-2.12,-8.3,-5.41
35.98,-1.82,-8.47,-6.71
35.997,-3.01,-8.24,-5.7
36.013,-2.07,-7.78,-3.59
36.03,-3.44,-8.18,-4.22
36.047,-2.83,-8.53,-3.03
36.063,-2.56,-7.43,-4.61
36.08,-1.53,-9.73,-4.23
36.097,-2.73,-8.7,-5.54
36.113,-1.97,-8.89,-3.98
36.13,-2.62,-8.67,-3.42
36.147,-3.16,-8.6,-3.48
36.163,-2.48,-9.18,-3.18
36.18,-3.91,-8.49,-4.86
36.197,-2.39,-8.87,-4.56
36.213,-2.38,-8.75,-5.07
36.23,-3.06,-10.19,-4.16
36.247,-1.6,-9.04,-6.14
36.263,-1.53,-8.49,-5.77
36.28,-1.09,-8.59,-4.96
36.297,-2.28,-7.99,-3.34
36.313,-2.42,-9.03,-2.79
36.33,-2.89,-8.53,-4.3
36.347,-1.39,-8.66,-3.54
36.363,-1.45,-8.24,-5.27
36.38,-1.31,-8.47,-4.82
36.397,-0.15,-8.8,-5.79
36.413,-0.91,-9.16,-4.37
36.43,-1.37,-8.38,-4.27
36.446,-2.06,-8.07,-3.82
36.463,-1.39,-8.97,-2.73
36.48,-2.06,-9.34,-4.5
36.497,-0.9,-10.38,-4.58
36.513,-1.48,-9.19,-6.4
36.53,-0.97,-8.51,-6.12
36.547,-0.48,-9.1,-5.26
36.563,-1.88,-8.34,-4.45
36.58,-1.15,-9.69,-3.36
36.597,-1.54,-9.45,-3.91
36.613,-0.64,-7.77,-3.23
36.63,-1.13,-8.66,-3.33
36.647,-1.14,-8.13,-3.7
36.663,-1.43,-9.55,-2.48
36.68,-1.67,-8.39,-4
36.697,-0.77,-8.76,-3.6
36.713,-0.99,-8.85,-5.13
36.73,-0.98,-8.25,-5.2
36.747,-1.68,-8.84,-4.36
36.762,-2.05,-8.17,-4.1
36.78,-1.62,-9.21,-2.98
36.797,-1.59,-8.79,-4.62
36.813,-0.63,-9.34,-4.44
36.83,-0.6,-9.34,-5.49
36.847,-1.06,-8.93,-3.24
36.863,-1.15,-8.7,-2.77
36.88,-1.38,-8.58,-4.11
36.897,-1.24,-9.09,-4.12
36.913,-0.8,-9.56,-4.54
36.93,-1.35,-8.92,-3.63
36.947,-1.25,-9.78,-3.88
36.963,-1.23,-8.74,-4.06
36.98,-1.44,-8.69,-3.46
36.997,-1.29,-8.42,-4.09
37.013,-1.38,-8.23,-4.04
37.03,-1.29,-10.06,-4.81
37.047,-0.4,-8.7,-4.66
37.063,-0.94,-9.07,-4.19
37.08,-1.04,-7.81,-3.48
37.097,-0.7,-9.53,-3
37.113,-1.72,-8.68,-4.43
37.13,-0.59,-8.85,-4.47
37.147,-1.39,-9.2,-4.69
37.163,-1.53,-8.6,-3.85
37.18,-1.61,-9.44,-3.64
37.197,-1.13,-8.64,-4.63
37.213,-0.22,-8.51,-4.79
37.23,-1.17,-9.04,-4.69
37.247,0.68,-8.86,-4.39
37.263,-0.54,-10.18,-3.9
